numcla;sous-cas;nbepoch;numbase;moteur;batch-size;dimx;dimy;ndense
11650;1;71;11820;2;8;500;128;512
11650;2;81;11820;2;8;500;128;512
11650;3;94;11820;2;8;500;128;512
12853;1;80;11820;2;8;500;128;512
12853;2;95;11820;2;8;500;128;512
10220;1;95;10210;2;8;500;128;512
10250;1;88;10210;2;8;500;128;512
10250;2;99;10210;2;8;500;128;512
22853;1;94;11820;2;8;500;128;512
15121;1;93;13100;2;8;500;128;512


